id,day_of_week,age_band_of_driver,sex_of_driver,educational_level,vehicle_driver_relation,driving_experience,type_of_vehicle,owner_of_vehicle,area_accident_occured,lanes_or_medians,road_alignment,types_of_junction,road_surface_conditions,light_conditions,weather_conditions,type_of_collision,number_of_vehicles_involved,number_of_casualties,vehicle_movement,age_band_of_casualty,casualty_severity,cause_of_accident,accident_severity,hour
4976,Friday,Unknown,Female,Junior high school,Owner,5-10yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,Under 18,3,No priority to pedestrian,Slight Injury,15
4977,Monday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,Overtaking,Serious Injury,8
4978,Friday,18-30,Male,Junior high school,Employee,Below 1yr,Public (13?45 seats),Owner,Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Driving carelessly,Slight Injury,18
4979,Friday,Unknown,Male,NaN,NaN,NaN,Lorry (41?100Q),Owner,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No priority to vehicle,Slight Injury,18
5020,Tuesday,Over 51,Male,Elementary school,Owner,5-10yr,Public (13?45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,Collision with roadside objects,2,2,Reversing,18-30,3,Moving Backward,Slight Injury,16
4980,Monday,18-30,Male,Junior high school,Employee,5-10yr,NaN,Owner,Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,18-30,3,No priority to pedestrian,Slight Injury,22
4981,Monday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,NaN,Office areas,other,Tangent road with mountainous terrain and,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,18-30,2,Changing lane to the right,Slight Injury,22
4982,Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,NaN,Governmental,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Over 51,3,Driving carelessly,Slight Injury,11
4983,Thursday,18-30,Male,High school,Employee,Above 10yr,Lorry (41?100Q),Owner,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury,11
4984,Monday,18-30,Male,Junior high school,Employee,Above 10yr,NaN,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,na,na,Changing lane to the right,Slight Injury,11
4985,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,other,Tangent road with mountainous terrain and,O Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,NaN,18-30,3,Changing lane to the left,Slight Injury,11
4986,Friday,Unknown,Male,Junior high school,Employee,Above 10yr,Taxi,Owner,Rural village areasOffice areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,31-50,3,Overturning,Slight Injury,17
4987,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Over 51,3,Driving carelessly,Slight Injury,17
4988,Tuesday,Unknown,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,Under 18,3,No distancing,Slight Injury,18
4989,Tuesday,Unknown,Male,Junior high school,Employee,2-5yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving carelessly,Slight Injury,18
4990,Friday,Unknown,Female,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with pedestrians,2,1,Turnover,31-50,3,Changing lane to the left,Slight Injury,5
4991,Friday,18-30,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,31-50,3,No priority to vehicle,Slight Injury,5
4992,Thursday,Under 18,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Changing lane to the right,Slight Injury,19
4993,Thursday,31-50,Male,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,3,No distancing,Slight Injury,19
4994,Sunday,31-50,Male,Junior high school,Employee,Below 1yr,Other,Owner,Office areas,NaN,Tangent road with flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,na,na,Moving Backward,Slight Injury,14
4995,Wednesday,Unknown,Female,Junior high school,Employee,NaN,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Moving Backward,Slight Injury,22
4996,Wednesday,Under 18,Male,NaN,Employee,5-10yr,NaN,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Turnover,5,2,No distancing,Slight Injury,22
4997,Tuesday,18-30,Male,Writing & reading,Employee,Below 1yr,Taxi,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,No distancing,Slight Injury,8
4998,Tuesday,Unknown,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,31-50,3,No distancing,Slight Injury,8
4999,Tuesday,31-50,Male,Junior high school,Employee,1-2yr,Other,Owner,Residential areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,31-50,3,No priority to pedestrian,Slight Injury,12
5000,Tuesday,31-50,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,31-50,3,Driving carelessly,Slight Injury,12
5001,Saturday,31-50,Male,Elementary school,Employee,Above 10yr,Public (> 45 seats),Owner,Residential areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,NaN,na,na,Changing lane to the right,Slight Injury,10
5002,Friday,18-30,Male,Elementary school,Employee,Below 1yr,Stationwagen,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Changing lane to the left,Slight Injury,23
5003,Friday,Unknown,Female,High school,Employee,2-5yr,Automobile,Owner,Church areas,One way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Driving carelessly,Slight Injury,23
5004,Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,18-30,3,Driving carelessly,Slight Injury,6
5005,Tuesday,31-50,Male,Above high school,Employee,Above 10yr,Other,Owner,Other,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,No distancing,Slight Injury,6
5006,Monday,18-30,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,18-30,2,Other,Slight Injury,21
5007,Monday,Unknown,Female,Junior high school,Employee,2-5yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,2,Changing lane to the right,Slight Injury,21
5008,Monday,18-30,Male,High school,Employee,1-2yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Over 51,3,Changing lane to the right,Serious Injury,18
5009,Thursday,Unknown,Male,Junior high school,Employee,5-10yr,Ridden horse,Owner,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,No distancing,Serious Injury,11
5010,Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Serious Injury,11
5011,Friday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,18-30,3,Overturning,Serious Injury,5
5012,Friday,18-30,Male,Elementary school,Employee,NaN,Pick up upto 10Q,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,Driving at high speed,Serious Injury,5
5013,Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (11?40Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,No priority to vehicle,Slight Injury,0
5014,Saturday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,18-30,3,No priority to pedestrian,Slight Injury,0
5015,Sunday,Unknown,Female,Elementary school,Employee,2-5yr,Automobile,Owner,Office areas,One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No priority to vehicle,Slight Injury,14
5016,Sunday,18-30,Male,High school,Employee,1-2yr,Pick up upto 10Q,Owner,School areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,31-50,3,Other,Slight Injury,14
5017,Thursday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Residential areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Unknown,Rollover,2,2,Going straight,18-30,3,Other,Slight Injury,13
5018,Thursday,31-50,Male,Junior high school,Employee,Below 1yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,2,Other,na,na,Moving Backward,Slight Injury,13
5019,Thursday,31-50,Male,High school,Employee,Above 10yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,2,Going straight,na,na,No distancing,Slight Injury,13
5021,Tuesday,Over 51,Male,Elementary school,Employee,Below 1yr,Pick up upto 10Q,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,NaN,18-30,3,No priority to vehicle,Slight Injury,16
5022,Tuesday,Over 51,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Over 51,3,Driving carelessly,Slight Injury,16
5023,Sunday,31-50,Male,Elementary school,Owner,5-10yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,18-30,3,No distancing,Slight Injury,20
5024,Sunday,18-30,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,na,na,Other,Slight Injury,20
5025,Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,31-50,3,Changing lane to the right,Slight Injury,15
5026,Thursday,Unknown,Male,Junior high school,Employee,5-10yr,Public (12 seats),Organization,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,18-30,3,No distancing,Slight Injury,15
5027,Monday,Unknown,Male,High school,Employee,1-2yr,Lorry (41?100Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,3,Driving carelessly,Slight Injury,13
5028,Monday,Over 51,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,na,na,No distancing,Slight Injury,13
5029,Saturday,31-50,Male,Elementary school,Owner,2-5yr,Lorry (41?100Q),Owner,Church areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Unknown,Collision with roadside objects,2,2,Going straight,31-50,3,No priority to vehicle,Slight Injury,12
5030,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,2,Going straight,18-30,3,Changing lane to the right,Slight Injury,12
5031,Saturday,31-50,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,NaN,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Unknown,Collision with pedestrians,2,2,Going straight,na,na,No priority to pedestrian,Slight Injury,12
5032,Saturday,18-30,Male,Junior high school,Employee,5-10yr,NaN,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Under 18,3,No priority to vehicle,Slight Injury,18
5033,Saturday,31-50,Male,High school,Employee,Above 10yr,Other,Owner,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,Changing lane to the left,Slight Injury,18
5034,Monday,Over 51,Unknown,Junior high school,Employee,5-10yr,NaN,Owner,Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Turnover,Slight Injury,8
5035,Monday,18-30,Male,Elementary school,Employee,1-2yr,Public (13?45 seats),Governmental,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,2,Driving to the left,Slight Injury,8
5036,Monday,Over 51,Male,Junior high school,Employee,NaN,Special vehicle,Owner,Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,5,2,Driving carelessly,Slight Injury,12
5037,Monday,Under 18,Male,Above high school,Employee,1-2yr,Lorry (41?100Q),Owner,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Over 51,3,Driving to the left,Slight Injury,12
5038,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,18-30,3,Driving carelessly,Slight Injury,8
5039,Thursday,31-50,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Governmental,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No priority to pedestrian,Slight Injury,8
5040,Saturday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,School areas,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,31-50,3,Driving carelessly,Slight Injury,21
5041,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Changing lane to the right,Slight Injury,21
5042,Friday,31-50,Male,NaN,NaN,NaN,Automobile,NaN,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Moving Backward,Slight Injury,16
5043,Friday,31-50,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Reversing,na,na,Driving carelessly,Slight Injury,16
5044,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Other,na,na,Changing lane to the right,Slight Injury,17
5045,Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Other,One way,Steep grade downward with mountainous terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,18-30,3,Driving carelessly,Slight Injury,17
5046,Friday,Unknown,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving carelessly,Slight Injury,17
5047,Friday,31-50,Male,Above high school,Owner,1-2yr,Pick up upto 10Q,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Over 51,3,Driving carelessly,Slight Injury,17
5048,Thursday,Under 18,Male,Above high school,Employee,No Licence,Special vehicle,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Reversing,31-50,3,Changing lane to the right,Serious Injury,19
5049,Thursday,Under 18,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner,Other,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Other,3,4,Going straight,na,na,Changing lane to the right,Serious Injury,19
5050,Thursday,Under 18,Male,Junior high school,Employee,5-10yr,NaN,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,31-50,3,Driving carelessly,Serious Injury,19
5051,Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,NaN,Owner,Other,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,3,4,Moving Backward,Over 51,3,Overtaking,Serious Injury,19
5052,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Hospital areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,31-50,3,Changing lane to the right,Serious Injury,19
5053,Thursday,Unknown,Male,Junior high school,Owner,5-10yr,Other,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,31-50,3,No distancing,Serious Injury,19
5054,Sunday,18-30,Male,Elementary school,Employee,2-5yr,Other,Owner,Residential areas,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,31-50,3,Other,Slight Injury,13
5055,Sunday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Over 51,3,Changing lane to the right,Slight Injury,13
5056,Sunday,Unknown,Female,Junior high school,Employee,Below 1yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,5,3,Changing lane to the right,Slight Injury,13
5057,Sunday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,5,2,Overtaking,Slight Injury,13
5058,Saturday,Unknown,Female,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,Other,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,4,1,NaN,5,2,Other,Slight Injury,17
5059,Saturday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,4,1,Going straight,na,na,Driving to the left,Slight Injury,17
5060,Saturday,31-50,Male,Junior high school,Employee,Above 10yr,NaN,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Reversing,18-30,3,Overtaking,Slight Injury,17
5062,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,NaN,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,5,3,Moving Backward,Slight Injury,18
5063,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Organization,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Other,Slight Injury,18
5064,Thursday,Under 18,Male,Above high school,Employee,2-5yr,NaN,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,18-30,3,No priority to vehicle,Slight Injury,16
5065,Thursday,Unknown,Male,NaN,NaN,NaN,Lorry (41?100Q),Owner,Office areas,NaN,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,na,na,No priority to pedestrian,Slight Injury,16
5066,Thursday,Over 51,Male,NaN,Employee,1-2yr,Taxi,Governmental,Office areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,31-50,3,Changing lane to the right,Slight Injury,16
5067,Sunday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,T Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Other,18-30,3,Changing lane to the right,Slight Injury,21
5068,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Residential areas,NaN,Tangent road with flat terrain,T Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Moving Backward,na,na,Changing lane to the right,Slight Injury,21
5069,Sunday,31-50,Male,Junior high school,Employee,Below 1yr,Other,Owner,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,T Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Other,na,na,Driving to the left,Slight Injury,21
5070,Sunday,31-50,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Going straight,31-50,3,Changing lane to the left,Slight Injury,21
5071,Sunday,31-50,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Going straight,na,na,Moving Backward,Slight Injury,21
5072,Thursday,18-30,Male,High school,Employee,5-10yr,Lorry (41?100Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Going straight,18-30,3,Driving at high speed,Slight Injury,4
5073,Thursday,Unknown,Female,Above high school,Employee,1-2yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,Over 51,3,Moving Backward,Serious Injury,3
5074,Thursday,Over 51,Male,Junior high school,Employee,Below 1yr,Other,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,No distancing,Serious Injury,3
5075,Thursday,Over 51,Male,NaN,NaN,NaN,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,NaN,31-50,3,Other,Slight Injury,15
5076,Sunday,18-30,Male,High school,Employee,Below 1yr,NaN,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,No priority to vehicle,Slight Injury,12
5077,Sunday,31-50,Male,High school,Employee,Below 1yr,Taxi,NaN,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,3,Changing lane to the right,Slight Injury,12
5078,Monday,31-50,Male,NaN,NaN,NaN,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,Other,Slight Injury,22
5079,Thursday,31-50,Male,High school,Employee,2-5yr,Other,Owner,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,3,No distancing,Slight Injury,7
5080,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Over 51,3,Driving carelessly,Slight Injury,7
